Timestamp,Leaf Wetness,Temperature (°C),Humidity (%),Rainfall (mm),Fungal Risk
2025-05-01 00:00:00,Yes,22.5,78.6,1.02,Medium
2025-05-01 00:30:00,Yes,27.6,77.7,0.31,Medium
2025-05-01 01:00:00,Yes,27.9,87.7,0.12,Medium
2025-05-01 01:30:00,No,22.7,75.4,0.13,Low
2025-05-01 02:00:00,No,21.2,60.9,0.0,Low
2025-05-01 02:30:00,Yes,17.2,69.9,0.75,Medium
2025-05-01 03:00:00,Yes,15.5,65.9,1.67,Medium
2025-05-01 03:30:00,No,18.9,80.7,0.0,Low
2025-05-01 04:00:00,No,17.3,81.1,0.0,Low
2025-05-01 04:30:00,Yes,21.9,74.0,0.27,Low
2025-05-01 05:00:00,Yes,17.0,98.5,0.49,Medium
2025-05-01 05:30:00,Yes,14.7,88.2,0.0,Medium
2025-05-01 06:00:00,No,21.0,60.4,0.0,Low
2025-05-01 06:30:00,Yes,21.0,87.4,0.64,Medium
2025-05-01 07:00:00,No,19.4,77.0,0.0,Low
2025-05-01 07:30:00,Yes,16.4,75.4,1.35,Medium
2025-05-01 08:00:00,Yes,21.7,62.4,0.76,Medium
2025-05-01 08:30:00,Yes,18.1,73.2,0.99,Medium
2025-05-01 09:00:00,Yes,25.2,89.3,0.0,Medium
2025-05-01 09:30:00,Yes,18.5,83.3,1.28,Medium
2025-05-01 10:00:00,No,17.6,78.1,0.0,Low
2025-05-01 10:30:00,Yes,14.0,88.1,1.58,Medium
2025-05-01 11:00:00,Yes,19.6,90.0,0.79,High
2025-05-01 11:30:00,Yes,16.8,83.6,1.73,Medium
2025-05-01 12:00:00,Yes,19.8,95.6,0.0,High
2025-05-01 12:30:00,Yes,24.1,80.9,0.26,Medium
2025-05-01 13:00:00,Yes,20.5,60.1,0.32,Medium
2025-05-01 13:30:00,Yes,21.8,94.8,0.09,High
2025-05-01 14:00:00,Yes,16.0,75.0,1.23,Medium
2025-05-01 14:30:00,Yes,21.6,74.7,0.91,Medium
2025-05-01 15:00:00,Yes,20.5,89.7,0.0,Medium
2025-05-01 15:30:00,No,18.4,76.1,0.0,Low
2025-05-01 16:00:00,Yes,21.5,82.6,0.5,Medium
2025-05-01 16:30:00,No,18.8,65.8,0.16,Low
2025-05-01 17:00:00,Yes,18.3,72.0,0.37,Medium
2025-05-01 17:30:00,Yes,22.0,98.9,0.64,High
2025-05-01 18:00:00,No,21.3,79.3,0.0,Low
2025-05-01 18:30:00,Yes,19.9,80.6,2.47,Medium
2025-05-01 19:00:00,Yes,19.0,83.0,0.47,Medium
2025-05-01 19:30:00,Yes,14.2,91.4,1.1,Medium
2025-05-01 20:00:00,Yes,24.0,70.9,1.62,Medium
2025-05-01 20:30:00,Yes,13.0,85.9,2.25,Medium
2025-05-01 21:00:00,Yes,15.0,74.3,0.58,Medium
2025-05-01 21:30:00,Yes,17.5,64.5,0.55,Medium
2025-05-01 22:00:00,No,14.7,84.7,0.0,Low
2025-05-01 22:30:00,Yes,27.7,72.2,0.24,Low
2025-05-01 23:00:00,Yes,24.1,67.7,0.68,Medium
2025-05-01 23:30:00,Yes,26.5,63.9,0.65,Medium
2025-05-02 00:00:00,Yes,21.3,87.8,0.0,Medium
2025-05-02 00:30:00,Yes,13.4,85.2,0.74,Medium
2025-05-02 01:00:00,No,21.3,83.5,0.0,Low
2025-05-02 01:30:00,No,21.2,82.9,0.0,Low
2025-05-02 02:00:00,No,29.3,84.7,0.0,Low
2025-05-02 02:30:00,Yes,23.3,70.3,1.13,Medium
2025-05-02 03:00:00,Yes,25.8,71.8,1.27,Medium
2025-05-02 03:30:00,Yes,22.1,88.2,2.02,Medium
2025-05-02 04:00:00,No,18.8,72.5,0.0,Low
2025-05-02 04:30:00,Yes,15.9,79.2,0.77,Medium
2025-05-02 05:00:00,Yes,21.4,88.3,0.51,Medium
2025-05-02 05:30:00,Yes,27.3,77.4,2.68,Medium
2025-05-02 06:00:00,No,23.1,71.4,0.0,Low
2025-05-02 06:30:00,Yes,22.4,77.8,1.07,Medium
2025-05-02 07:00:00,No,22.4,79.3,0.0,Low
2025-05-02 07:30:00,Yes,12.4,75.5,1.19,Medium
2025-05-02 08:00:00,Yes,21.1,67.5,0.64,Medium
2025-05-02 08:30:00,Yes,21.9,71.2,0.62,Medium
2025-05-02 09:00:00,Yes,20.3,68.6,0.79,Medium
2025-05-02 09:30:00,Yes,22.8,90.8,1.34,High
2025-05-02 10:00:00,Yes,13.1,70.6,0.91,Medium
2025-05-02 10:30:00,Yes,22.6,85.2,3.58,Medium
2025-05-02 11:00:00,Yes,22.9,91.4,1.26,High
2025-05-02 11:30:00,Yes,23.3,76.8,1.11,Medium
2025-05-02 12:00:00,No,16.1,77.6,0.11,Low
2025-05-02 12:30:00,Yes,20.4,103.1,0.0,High
2025-05-02 13:00:00,No,23.4,63.9,0.12,Low
2025-05-02 13:30:00,No,25.4,80.6,0.0,Low
2025-05-02 14:00:00,Yes,16.4,86.8,0.0,Medium
2025-05-02 14:30:00,No,21.1,80.5,0.0,Low
2025-05-02 15:00:00,Yes,30.7,86.3,0.0,Medium
